orbital_period,planet_radius,insolation_flux,equilibrium_temp,stellar_teff,stellar_radius,stellar_logg,ra,dec,telescope_encoded
-0.430944797850875,-0.6215667403348876,0.03470215330377023,0.6267778360647351,0.848817916533123,-0.0647349036851123,0.11589462701091514,0.716980579339069,0.6444503169587553,1
-0.500188595546163,3.9186660789425796,3.6945764871887636,2.597732645337202,-0.2764773264465668,1.6670052201289753,-2.378667199034004,0.7597877556585926,0.6922584805275038,1
-0.19654613232862447,0.37933278558216266,0.06989652040403592,0.6759330461576282,0.7569134617408596,1.3825762201494385,-2.246379829471016,-0.6545455306264989,-1.9903959230268171,2
0.17042016625277975,-0.5176870998694176,-0.41887495566921806,-0.9149719144549883,0.06763005079888439,-0.3813552320250191,0.6072477139591594,0.6705666463002741,0.4931698995916457,1
0.4961487842181361,-0.4934150546918238,-0.32861807855091996,-0.16951049662127587,0.560280674743459,0.2177464231428262,-0.7259340883899164,-1.8081359093872924,-0.06428992081913945,0
-0.4001890676782194,0.19782201303800956,-0.26148129374380863,0.22204499557420943,0.3412061022735288,0.4331022042191139,-1.138258357157672,0.548312877010137,0.05284440169566657,2
-0.33262889710550814,-0.5379722174372404,-0.4314081771254296,-1.2521785205505662,-2.21502012869268,-0.8757736548406106,1.6443119706215235,-1.6905384435086477,-1.942327261336549,2
-0.15606612850947846,-0.5294601257888376,-0.413129660607347,-0.8246129547175686,-0.4570802666778751,-0.46789133462595817,0.7962296704777131,0.6660717804546314,0.6801383158216802,1
-0.3353200277555472,-0.10558914913656976,-0.40309707738824335,-0.7017017215395186,0.3508240103331843,-0.043141600906689774,-0.13222150172007904,1.1672506406955685,-1.9792107832411079,2
-0.3346238937904266,-0.5710119819750256,-0.4053074278940015,-0.16951049662127587,-1.3048347427494402,-0.6261251434112637,0.20213911989483774,-0.6179829459624543,-0.5001135035601172,0
0.4450800164669292,3.522538383300921,-0.4014277802896238,-0.6834270801278504,0.7088239214425823,0.04623492200315081,-0.447615206971683,0.6245518349876301,0.6571892087199763,1
-0.21282558540149646,-0.6104862453519041,-0.3716268718661941,-0.44435233248926076,0.16701510074865755,-0.23882518068229577,0.2636441566526947,0.5816577463260483,0.5599761421349023,1
-0.5293111369132076,-0.6305696425085615,2.854895769699456,2.343598071075709,0.48440606671728803,-0.23984325247760094,0.3770333305638287,0.704269227408487,0.7113737389627268,1
-0.5244537357585836,2.521831180150229,0.1128165875722141,0.7284316657693323,-0.8866801600091527,-0.6206021039217331,0.9336710934002984,0.7318878390964834,0.5614975790164167,1
-0.3897866851174245,-0.08417474907193757,-0.32143891352201903,-0.18692574789722094,-0.5578545700140431,-0.3065849851624217,0.20213911989483774,-2.0446849628576453,-2.504428412289842,2
-0.4842370764838655,0.1796687134518192,-0.09304840538150425,0.41833893793671356,-0.35983252963024753,-0.3520754871920425,0.47667836218270265,1.1121413071432962,1.2761251339326174,2
-0.49563810928792745,-0.0901926005237427,-0.009756899938702275,0.8037307988838487,0.5517314231348763,-0.14719871910483073,0.2017955163375321,-1.450215628722331,-2.165436358618012,2
-0.3158842021849868,1.0262686901674805,0.20409927049032597,0.8444414709799579,1.4955688007223995,0.5982232686996589,-0.8633755113125016,-0.7289759841037933,-2.195116133675768,2
2.4163020876444694,-0.5253049401702188,-0.4332381933238957,-1.3573543215027721,-0.16961168133928384,-0.3151805653301832,0.301440547956406,0.6223626776339677,0.6118954736763726,1
-0.43654703056106464,0.04568681692164689,-0.3603475719364332,-0.21657245481784865,-0.1704666065001423,-0.2693673345414508,0.2705162277988263,-0.12589242389486519,0.23692780867886418,2
-0.4782947416789763,-0.600098281305357,-0.05654374174380145,0.481827004819291,0.14884794108041946,-0.3996805243405121,0.6725323898473878,0.6449897363176422,0.875493514716067,1
-0.5245132735952571,-0.641650137491545,0.8805552417789537,1.423066168750746,-0.40578475702637923,-0.3528492217564744,0.301440547956406,0.6577944346350222,0.6740245059005002,1
-0.3910939179343688,-0.6049459978604124,-0.3317964225327219,-0.23163228144075193,-0.1428952700624631,-0.4322588217902773,0.6725323898473878,0.6602929535169089,0.6003593372535986,1
0.9939794224845381,-0.5638158930145142,-0.435749616891433,-1.7225551171081768,-2.5516469107806214,-1.0023790271611706,2.1296863556726358,-1.992113606812458,-0.3325797288682514,2
-0.3980911716750388,0.5940882148669548,-0.25313578063515646,0.24839969216429017,0.7772179343112434,0.13786138358061586,-0.34797017535280905,-1.5002816943172337,-1.4274019490951093,2
-0.4613802659779812,-0.38215879560880145,-0.14870133150072165,0.5307714413437267,0.02915841856026251,-0.01484938571515922,-0.3136098196221635,0.7302130256078848,-0.46669828512086164,2
-0.4766418666402234,0.8050400634148668,-0.19380144818280515,0.4215876983276779,0.0932778056246323,-0.2286444627292441,0.2705162277988263,-1.329187196883842,-1.0329393707106027,2
6.670221312568022,-0.5343078423438928,-0.4307701440367539,-1.2236983602245055,0.8210328488052294,0.6764213632970487,-1.3547285982607444,0.6285142572620231,0.6046729553625624,1
-0.4464411440539872,0.21424192154091815,0.4001218004901457,1.3383546439969152,1.521002824257933,1.125391025026627,-1.6193033373867207,0.8835032660802997,1.0062276540202224,2
-0.43958219581492913,-0.402034433484528,-0.07753789506065414,0.44605991658989574,0.5367702328198567,-0.21744567298088738,0.33236486811398885,0.6642759436392401,0.6120144138085961,1
-0.48178757603557754,-0.6568858180931473,-0.020426605181147313,0.5401838329830412,0.20228076363406094,-0.4088431704982586,0.6862765321396448,0.7114132320686114,0.8270016146823709,1
